日期,男,女
107年1月,3.84,3.37
107年2月,3.89,3.46
107年3月,3.87,3.39
107年4月,3.85,3.37
107年5月,3.84,3.37
107年6月,3.89,3.46
107年7月,3.98,3.59
107年8月,4.01,3.69
107年9月,3.9,3.58
107年10月,3.9,3.56
107年11月,3.85,3.51
107年12月,3.81,3.47
108年1月,3.79,3.45
108年2月,3.89,3.51
108年3月,3.86,3.45
108年4月,3.86,3.43
108年5月,3.85,3.44
108年6月,3.87,3.55
108年7月,3.9,3.71
108年8月,3.94,3.81
108年9月,3.84,3.75
108年10月,3.84,3.68
108年11月,3.81,3.64
108年12月,3.72,3.6
109年1月,3.69,3.58
109年2月,3.78,3.6
109年3月,3.83,3.58
109年4月,4.12,3.91
109年5月,4.14,3.98
109年6月,4,3.91
109年7月,4.02,3.98
109年8月,4,3.97
109年9月,3.89,3.75
109年10月,3.86,3.73
109年11月,3.87,3.6
109年12月,3.8,3.53
110年1月,3.76,3.54
110年2月,3.81,3.57
110年3月,3.77,3.55
110年4月,3.73,3.53
110年5月,4.18,4.03
110年6月,4.78,4.83
110年7月,4.4,4.69
110年8月,4.19,4.31
110年9月,3.95,3.97
110年10月,3.78,3.9
110年11月,3.74,3.56
110年12月,3.7,3.56
111年1月,3.67,3.55
111年2月,3.75,3.53
111年3月,3.68,3.64
111年4月,3.62,3.63
111年5月,3.69,3.66
111年6月,3.78,3.7
111年7月,3.8,3.77
111年8月,3.78,3.8
111年9月,3.68,3.64
111年10月,3.62,3.67
111年11月,3.58,3.65
111年12月,3.56,3.48
112年1月,3.53,3.47
112年2月,3.55,3.51
112年3月,3.58,3.54
112年4月,3.56,3.43
112年5月,3.49,3.42
112年6月,3.52,3.46
112年7月,3.55,3.57
112年8月,3.53,3.59
112年9月,3.42,3.55
112年10月,3.45,3.4
